TRANSACTION_DATE,STORE_LOCATION,MONTH_NAME,HOUR_,NUMBER_OF_SALES,REVENUE,PERIOD_IN_DAY
2023-01-17,Hell's Kitchen,Jan,9,29,846.00,Morning
2023-06-14,Hell's Kitchen,Jun,9,118,602.40,Morning
2023-06-13,Hell's Kitchen,Jun,8,120,578.95,Morning
2023-05-14,Hell's Kitchen,May,9,115,562.60,Morning
2023-06-14,Hell's Kitchen,Jun,8,123,556.90,Morning
2023-06-17,Hell's Kitchen,Jun,10,46,527.55,Morning
2023-06-17,Hell's Kitchen,Jun,9,41,519.75,Morning
2023-06-14,Hell's Kitchen,Jun,10,102,519.40,Morning
2023-05-17,Hell's Kitchen,May,9,41,515.70,Morning
2023-05-13,Hell's Kitchen,May,10,96,506.35,Morning
2023-06-13,Hell's Kitchen,Jun,9,102,506.25,Morning
2023-05-13,Hell's Kitchen,May,9,94,505.50,Morning
2023-06-19,Astoria,Jun,10,92,501.50,Morning
2023-06-13,Hell's Kitchen,Jun,10,94,496.40,Morning
2023-06-21,Hell's Kitchen,Jun,10,99,491.80,Morning
2023-04-14,Hell's Kitchen,Apr,9,93,484.60,Morning
2023-06-21,Hell's Kitchen,Jun,8,92,484.13,Morning
2023-05-13,Hell's Kitchen,May,8,100,482.65,Morning
2023-06-30,Hell's Kitchen,Jun,11,28,475.65,Morning
2023-06-09,Lower Manhattan,Jun,10,85,474.62,Morning
2023-04-17,Hell's Kitchen,Apr,9,30,465.70,Morning
2023-05-20,Hell's Kitchen,May,8,95,465.15,Morning
2023-06-17,Hell's Kitchen,Jun,11,24,462.30,Morning
2023-06-09,Lower Manhattan,Jun,9,74,461.39,Morning
2023-06-15,Astoria,Jun,9,93,459.15,Morning
2023-06-17,Astoria,Jun,10,90,455.25,Morning
2023-04-09,Lower Manhattan,Apr,9,70,453.66,Morning
2023-05-14,Hell's Kitchen,May,8,105,453.63,Morning
2023-05-17,Hell's Kitchen,May,11,23,452.40,Morning
2023-04-17,Hell's Kitchen,Apr,11,19,447.10,Morning
2023-04-21,Hell's Kitchen,Apr,10,87,446.00,Morning
2023-05-21,Hell's Kitchen,May,10,100,445.20,Morning
2023-04-18,Astoria,Apr,10,81,440.98,Morning
2023-06-18,Astoria,Jun,10,93,437.25,Morning
2023-06-21,Hell's Kitchen,Jun,9,100,431.10,Morning
